NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
4 0.213 248.3133 0.6955378 25.8 24.59081 2.3991 0.4065997 73.95483 0.04764721 -40.29311 0.02711512 -0.01540509 4 281615 MEDIUM 0.0,6.657708,9.086498,1.108993 -1.5225848664376742,-1.2091857244436148,-0.9688794165643242,-1.6116072157946446 -0.0299857,1.079323,-1.011399,0.2753018 -1.222754,-0.1683458,0.2174231,1.156842
2 0.425 231.2065 0.6989323 23.88 24.73222 1.158352 0.5237621 -9.029045 0.05386259 34.13637 0.4448228 0.0435517 1 286088 MEDIUM 0.0,71.87025 -0.4717525423240999,0.8522243754322828 1.037613,-0.113696 0.09567381,-0.03186865
2 0.43 154.17 0.6989323 23.62 24.48798 0.4566418 0.3206236 -98.53105 0.06284193 172.6315 -0.1336417 -0.06846403 5 286122 MEDIUM 0.0,9.849143 -1.004646372006187,0.8679752975664424 -0.3333665,0.07103205 -0.1879257,0.02416747
2 0.166 319.8895 0.7023336 23.88 23.00522 3.771768 0.2567205 -7.496828 0.04205145 -3.967749 -0.2484105 -0.1716982 2 287137 MEDIUM 0.0,46.04833 -1.2989984284460532,-0.8747787591274943 -2.56999,0.674745 -0.3311832,1.591816
2 0.225 192.3092 0.7023336 24.83 24.27554 1.302356 0.1824898 75.5777 0.06872766 42.16849 -0.04354398 0.2164772 2 287521 MEDIUM 13.06706,0.0 -0.5544572639544898,-1.1925117584892073 0.2001931,0.1224645 -0.3916994,0.9083355
4 0.467 139.9587 0.7023336 25.84 24.06373 0.3131486 0.2013299 -89.55583 0.09191131 -71.91494 0.03103277 0.006151836 2 289308 MEDIUM 0.00751201,1.798542,0.1703957,0.0 -1.7762711931746793,-0.3561207147093106,-2.072831326348234,-1.786060804210857 0.1351844,-0.1141909,0.1719301,0.07577265 -0.1359115,-0.01914691,0.02662083,0.1715495
4 0.251 84.72274 0.7057416 26.69 24.73632 0.2588604 0.1950975 62.17657 0.02371325 -132.6531 0.008138976 0.01006206 3 290681 MEDIUM 0.1687121,0.0,0.1850066,0.1642483 -2.5784706600962592,-1.534339031985458,-1.9536766423603962,-2.9485469561897477 0.03941691,0.08148553,-0.1123712,-0.04048809 -0.1076446,0.1183455,0.001282781,-0.109977
4 0.532 127.9381 0.7125783 25.65 24.51046 0.2165403 0.3387819 -167.2185 0.02717644 8.064759 0.0123029 0.007417823 3 298608 MEDIUM 1.040994,0.7920543,0.0,0.8370098 -0.9738830788169681,-2.109519710159538,-1.139543379827284,-1.715388325551595 -0.01150991,-0.09632225,0.1182145,-0.0596638 -0.08350891,0.008663427,0.03805197,0.07159075
2 0.447 156.6751 0.7125783 24.99 24.42222 0.4618935 0.05295561 37.88324 0.04154816 130.1122 0.08551133 -0.009712483 4 298215 MEDIUM 0.0,6.087055 -1.3780304220874706,-0.5677786961764653 0.311265,-0.1434856 -0.06770435,0.01321235
2 0.247 125.3141 0.7194423 24.13 24.64925 0.574746 0.3125353 116.3512 0.05646461 162.2262 -0.06838407 0.184943 1 302581 MEDIUM 5.410239,0.0 0.5192530085419468,-0.6962220730025127 0.02440312,-0.2268978 -0.08705844,0.4298369
