NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
4 1.191 138.0384 2.728478 25.2 23.92791 0.4238047 0.3999975 150.8112 0.03774327 99.00744 0.02669769 0.005561516 1 2419713 MEDIUM 4.392957,0.0,2.158178,2.381162 -0.6549375087524921,-1.2720895979197464,-1.9527963523181864,-1.6798560203394841 -0.1178007,0.2229809,-0.09203297,0.05640484 -0.1177474,-0.0916134,0.1918945,0.2004233
4 1.318 215.7744 2.750916 27.25 24.7326 0.9720194 0.1816052 54.23043 0.04097617 44.94644 -0.04454202 -0.06015058 4 2440816 MEDIUM 0.0,25.3899,24.8644,24.85504 -1.3089256068321546,-2.5174031015459275,-4.101557330757304,-4.306317040641117 -0.3537161,-0.001428043,0.3766719,0.3353375 -0.444873,0.4007036,0.1640427,0.2407121
2 0.542 99.08319 1.425409 24.66 24.70604 0.2613747 0.3066405 -20.18844 0.05358039 -61.85083 0.0292592 0.03853426 2 1049424 MEDIUM 1.477978,0.0 0.04604179571947455,-2.406551510968458 -0.04636612,0.1471129 -0.07321202,0.1025225
2 0.419 164.059 1.125485 24.63 24.41728 0.8154921 0.3451321 -18.65153 0.05208436 -71.79866 0.02111498 -0.1335748 1 712578 MEDIUM 0.0,10.60834 -1.1696944318162779,-0.21271691323680772 0.2813073,0.0332822 -0.5067133,0.2701463
2 0.609 229.0868 1.874849 25.07 23.97813 1.651961 0.2408089 42.48801 0.02244749 -179.3756 -0.1232734 -0.222474 1 1553882 MEDIUM 0.0,52.12376 -1.1697628237049607,-1.0918735574201879 -0.700262,0.119346 -0.8607262,0.5735739
2 0.099 164.059 1.464527 24.05 24.71446 1.235384 0.4947281 -154.3918 0.03639955 -152.34 -0.2426112 0.1493889 2 1091211 MEDIUM 5.681153,0.0 0.6644594516639767,-0.840258365259271 0.2111175,-0.9905072 -0.2550387,0.03179356
2 0.789 283.1392 1.611696 24.3 24.65329 1.734127 0.537078 -145.7324 0.08892566 -49.81433 -0.4830401 0.05233975 2 1262005 MEDIUM 182.1657,0.0 0.3532902936904692,-0.8188918081257535 0.3466134,-1.380442 -0.1827715,-0.02632285
2 1.732 171.0015 2.721028 25.71 24.09298 0.323146 0.1979433 32.35858 0.06206255 148.3132 -0.01247446 -0.0176301 1 2414324 MEDIUM 0.0,5.320792 -2.002869994759822,-1.6170230129395633 -0.1728731,0.03776662 -0.09794087,0.1471187
2 0.468 314.0509 1.712851 24.39 24.13345 3.52239 0.3442514 119.7495 0.08068025 32.91482 0.5176532 0.2729363 1 1372998 MEDIUM 171.62,0.0 -0.25655241915648486,-2.00998120919214 -0.9936178,2.077589 -0.5277271,1.197068
2 0.528 185.3532 1.367892 25.35 24.61458 0.9845307 0.2119688 -118.9714 0.03673966 -132.1928 -0.01551804 0.1438013 3 984345 MEDIUM 17.63326,0.0 -0.735421829440836,-1.213809905279764 0.1543523,0.1339207 -0.3222501,0.6620686
2 0.205 96.60509 1.734641 24.97 24.44873 0.4523574 0.0748314 148.2743 0.03294937 -130.2363 0.06269571 0.05919973 1 1395928 MEDIUM 1.152061,0.0 -0.5212720164834581,-1.3219756205257722 -0.09761422,0.2306043 -0.09628816,0.2149992
2 1.141 96.82779 2.490343 23.97 21.90511 0.2007986 0.147387 47.98281 0.03020419 -31.2611 0.01200539 0.003137199 2 2194650 MEDIUM 0.7173336,0.0 -2.393879110010415,-2.0648891176599857 -0.08952802,0.1073572 -0.001828554,0.0376211
2 0.58 82.98508 1.734641 24.65 23.73574 0.2310868 0.2744731 -45.35638 0.03537293 -78.82727 -0.02088809 0.03807328 1 1398162 MEDIUM 1.148899,0.0 -1.2378749086294802,-0.9142556782971714 0.02200966,-0.08197521 -0.06787897,0.1384902
4 0.171 297.1666 1.601271 24.71 23.97623 4.133296 0.5941872 -120.5342 0.05732988 42.45832 -0.3800771 0.6945272 2 1246110 MEDIUM 90.38991,38.0436,0.0,37.94712 0.969002587850132,-2.291295022103524,-0.7337687908948398,-2.4220938107367522 0.7214057,-2.268212,0.4941136,-2.310597 -0.6295274,0.3002038,2.881572,-0.154501
2 0.65 176.1976 1.50929 24.96 24.2762 0.8813355 0.002316968 62.0151 0.07152139 79.45111 0.062423 0.1647632 2 1144820 MEDIUM 23.13954,0.0 -0.6838035474026093,-1.0241160704045396 -0.099193,0.188031 -0.2309899,0.6022295
2 0.958 136.1445 3.030942 26.01 24.68331 0.5168176 0.2327708 -38.988 0.02450841 -64.16841 -0.02628305 0.03396451 1 2685322 MEDIUM 4.691845,0.0 -2.02984710783585,-1.326694818487646 -0.007897275,-0.2150918 -0.2308389,0.2426279
