NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.673 266.0725 1.406083 25.26 24.71083 1.693321 0.4009042 -108.3876 0.04393596 160.5864 -0.2486714 -0.3020726 2 1028426 MEDIUM 0.0,114.7848 -0.9107938949221344,-0.5491675727250337 -0.6909937,0.3956965 -1.030046,0.2685846
2 0.135 171.7908 1.198994 24.75 24.09559 1.530403 0.2705603 124.6822 0.07694158 -113.0446 -0.09855111 0.3375682 1 791623 MEDIUM 10.29343,0.0 -0.6544081709821054,-0.8909711172674656 0.09335356,-0.2232852 -0.3934312,1.103858
2 0.727 224.9055 1.334972 24.96 24.45325 0.9800441 0.448194 -141.0835 0.02643914 74.49954 0.1594195 0.04525908 2 948521 MEDIUM 40.95219,0.0 -0.5067499090154066,-0.8536862242573423 -0.3282233,0.617872 0.1134029,0.3691177
2 0.848 218.7762 2.20913 25.57 24.06799 1.281412 0.3017827 92.05504 0.05402717 173.9178 0.01612028 -0.1160655 2 1911622 MEDIUM 0.0,27.30101 -1.5020122855880351,-2.959235620240715 0.1248724,-0.08083235 -0.7423435,0.52245
4 0.415 215.2782 1.648517 25.41 24.71259 1.622784 0.6834177 115.2369 0.03904214 -28.09762 -0.2163507 -0.2812508 2 1300811 MEDIUM 0.0,16.87479,16.57192,44.90105 -0.6974118846932993,-1.4121783233500227,-1.6998713901322215,1.4069113896601055 0.01106439,-0.9303676,-0.9463706,0.2591782 -1.152275,-0.1622721,0.1579715,0.1722349
2 1.228 192.3092 1.464527 25.34 24.63573 0.2355943 0.159539 -50.32175 0.1109192 142.3279 0.01163548 -0.03352045 2 1096699 MEDIUM 0.0,9.722929 -0.9510418978277179,-0.7042726684905294 0.100895,0.007639027 -0.1363574,0.07999421
2 0.478 203.7042 1.685857 24.0 24.20794 1.47114 0.1711385 95.20338 0.02955217 16.64088 0.2548966 0.314718 2 1343120 MEDIUM 51.60497,0.0 0.20793916030239795,-1.055075289756439 -0.2282707,0.6928504 -0.2342801,0.9127986
2 0.419 148.5936 2.052619 23.73 24.0793 0.7776575 0.6534683 51.34231 0.02541532 158.553 0.1586784 0.05686682 2 1745154 MEDIUM 11.52474,0.0 0.34930340262385795,-0.6207548247024921 -0.2171151,0.5087485 0.07904371,0.3581013
2 0.518 295.8012 2.333424 25.62 24.04325 3.272129 0.1485327 115.8709 0.02493765 -173.3414 0.1191638 -0.3602733 2 2036753 MEDIUM 0.0,108.7321 -1.5816733148745676,-1.5767529523650916 0.8072118,-0.2493871 -1.851165,1.245677
2 0.7 239.8833 1.801066 25.09 24.41901 1.501261 0.2547292 21.45031 0.05997674 44.01153 0.0549633 0.1600027 1 1473001 MEDIUM 48.56139,0.0 -0.67099088473048,-1.1711079740011356 0.07602846,0.6985521 -0.5966499,0.7694576
2 0.7 145.5459 1.94468 24.33 24.46228 0.5621719 0.4027715 77.23837 0.06941996 117.616 0.09707445 0.08168115 2 1630908 MEDIUM 11.69137,0.0 0.13228156582892794,-0.9402739133951082 -0.1549189,0.1950706 -0.05330601,0.386631
